"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/1999","36,717.00","36,729.20","37,329.48","36,402.22","","-1.00%"
"05/01/1999","37,087.90","38,735.01","38,735.01","35,928.83","","-4.11%"
"04/01/1999","38,678.88","38,129.85","38,749.65","37,949.28","","0.20%"
"03/01/1999","38,600.80","36,141.12","38,600.80","35,484.72","","6.22%"
"02/01/1999","36,338.77","36,233.85","37,319.72","33,449.63","","1.83%"
"01/01/1999","35,687.25","37,702.82","38,322.62","34,528.18","","0.74%"
"12/01/1998","35,426.16","31,875.73","35,460.32","31,700.04","","6.52%"
"11/01/1998","33,256.86","30,311.59","34,108.47","30,106.62","","12.09%"
"10/01/1998","29,669.83","26,609.88","30,192.03","24,860.29","","6.42%"
"09/01/1998","27,878.76","30,611.73","31,834.25","26,846.58","","-11.59%"
"08/01/1998","31,534.11","36,185.04","36,543.75","31,534.11","","-13.93%"
"07/01/1998","36,636.47","34,330.53","38,766.73","34,330.53","","9.84%"
"06/01/1998","33,354.47","33,852.26","35,450.56","32,595.58","","-3.03%"
"05/01/1998","34,396.41","34,218.28","35,838.54","32,983.56","","4.98%"
"04/01/1998","32,763.95","35,582.33","37,436.84","31,136.37","","-5.16%"
"03/01/1998","34,545.26","29,298.93","34,545.26","29,262.33","","21.03%"
"02/01/1998","28,542.48","27,737.23","28,945.11","27,524.94","","3.60%"
"01/01/1998","27,549.34","24,913.97","27,549.34","24,913.97","","12.90%"
